"","","","","","target"
"1",-1.61904216175732,0.449842962519307,-1.77421493256657,-0.0435034886778615,5
"2",-0.798872047422596,1.85549270846123,-0.912383785886779,-0.547888772346246,5
"3",-0.748246139418059,0.881131812885996,-1.17153427069089,-0.410788574486291,5
"4",2.35694260733974,-0.269818226571416,0.243551390896696,0.928218466324233,6
"5",-1.61904216175732,0.449842962519307,-1.77421493256657,-0.0435034886778615,5
"6",-1.58322087572398,0.568157753123421,-1.53819467779716,-0.0235603231763726,5
"7",-1.10112361713362,0.607301320976202,-1.07586632539101,0.344010560053491,5
"8",-2.24801147735514,-0.417139906140994,-0.986283084484948,0.00147795270202814,7
"9",-1.08657616344375,-0.309271276774743,-1.51756606113087,-0.00303327295370923,7
"10",0.654596700801712,1.66524924806038,1.20832680449139,0.823819476784318,5
"11",-1.12485390989646,0.859799015171886,-0.772504470267183,-0.464160465398709,5
"12",0.654596700801712,1.66524924806038,1.20832680449139,0.823819476784318,5
"13",-3.02591462659553,0.49322992402609,-0.220447478589018,-0.594467554996314,5
"14",1.53840529893791,-0.235700228144621,0.0467097076057398,-3.79129172390448,5
"15",1.56496881594526,4.79420423114426,1.41191232774054,-1.36115599339662,5
"16",1.62092778637706,4.77905925137748,1.51778994010141,-1.40900062622904,5
"17",1.17429457532864,1.14346314171989,2.39279051492468,-0.145789844452799,7
"18",2.69438299798339,1.21441244571059,-0.12494110549081,-6.37141450006971,5
"19",-0.722253767565476,0.503677476289837,-1.74668204515397,0.639885292019955,4
"20",3.33429289080348,0.753129905183004,0.456839523326732,-5.13939196992555,6
"21",0.623517675481225,0.440379282657536,0.981572031966612,0.625092013159591,6
"22",-0.20587825463846,0.967701690631243,0.454160107119862,0.134359239636331,5
"23",0.696170115845343,-0.397270886423916,-0.25596270088937,-1.52328652564523,5
"24",0.0530574202963546,0.415933190284875,-0.932347333365261,0.254477352855478,5
"25",-0.878249071177608,0.380938430366112,0.0712089891312729,-0.155117217457651,6
"26",-1.16428979333877,-0.610536002921929,-0.567568370279063,-0.415364228974389,5
"27",-0.239373341846719,-1.19420173953006,-0.997600852970388,-0.167326372572642,5
"28",0.696170115845343,-0.397270886423916,-0.25596270088937,-1.52328652564523,5
"29",-1.73467998847513,0.587764607769038,-1.57697013357639,-0.154540284240628,5
"30",-1.32199395048521,-0.411077619631279,-1.53853149778952,-0.240595661439113,6
"31",-1.55926447255412,1.16141028503859,-0.273602272809453,-0.116541315134813,5
"32",-1.80496949986128,0.670520648334676,-0.490373812531547,-0.313022320968551,6
"33",-0.0895495916398514,1.56378605403252,-0.194922406578041,-0.148466855543792,5
"34",-0.0866466798403433,4.39645140517771,0.594643013411215,2.78907128401401,6
"35",-1.08376583090544,0.0620397955558289,0.0442874185504089,-0.635666275280616,5
"36",-0.561497424531308,0.518622905824222,-1.94067709115927,0.928613207476927,6
"37",-0.827916162013103,-0.988813405426779,-1.1712293896285,0.0483847536148503,6
