"","","","target"
"1",-3.30437018749004,-3.78319135504226,410
"2",2.82551810850305,4.38338956034161,1000
"3",-7.91987778487574,1.78304165875197,170
"4",-12.3126787367833,-2.68354755792555,30
"5",14.4061702281337,-3.11849524819677,700
"6",14.3756781704836,-3.16891212607036,700
"7",15.9709075060456,-4.27900698413452,900
"8",20.6020976382799,-2.82227412014385,600
"9",-8.95313127222083,-1.06540660196342,110
"10",-4.79264278900746,-2.08377825202159,190
"11",-7.4278771879758,1.33103895379092,150
"12",-4.14886483229487,-3.57753717577012,190
"13",-10.6306062025298,0.0407747624887478,130
"14",4.7532594826087,4.15926281803316,450
"15",12.6524858704446,-1.9485863757183,520
"16",2.77695405660693,3.67867263502902,380
"17",10.9746853675224,-0.956710274042894,590
"18",6.48638256947069,4.33895898574691,630
"19",14.2881284640362,-3.28755430148595,650
"20",4.78654449758917,4.229009731832,450
"21",2.41119562232117,3.60676802291236,300
"22",0.343674797054661,3.60574232811806,360
"23",12.6212438987532,-2.1146686688764,620
"24",2.75889661466621,3.77887739665198,380
"25",4.64991437047244,3.98039894889211,370
"26",-2.51030919123244,-3.75235769039666,190
"27",-10.3667880353813,-0.132802429574731,90
"28",-7.36795324901761,1.4261576144955,160
"29",9.39548804143218,0.457833195108186,440
"30",-4.59703157814632,-2.92238996773907,180
"31",8.16935449962244,2.03268851098615,400
"32",-11.7828945781606,0.641188726238289,145
"33",9.231400580864,0.365069479194832,600
"34",4.59380675402018,4.0014009089411,580
"35",-12.1718781459709,-2.29206841128217,40
"36",17.32732674787,-4.66560156284229,480
"37",-1.21194557430271,-2.11557731014865,230
"38",-2.50915689696434,-3.70387247764618,170
"39",-2.0036165958504,-2.84167572829974,190
"40",4.57527349816708,3.99681916402871,430
"41",0.20809239560975,3.54755721991033,440
"42",-8.64936464082712,0.442700748415612,110
"43",-11.8637236179092,0.121679345282203,160
"44",-3.24539281580175,-4.09777276279965,160
"45",-12.0695007375786,-0.364756236933022,30
"46",6.90378277220546,2.76816950846288,490
"47",2.57441398124163,3.58364194049632,270
"48",-4.30120501686549,-3.74149944746067,210
"49",-8.80963236198031,-0.0333747396352469,120
"50",2.64365308325186,3.62917322793784,450
"51",-7.02092079151059,1.23848017323432,160
"52",6.84692458833485,2.63865323812735,460
"53",-0.788969060134264,1.32032835649719,300
"54",-3.5194661889379,-4.19906423511243,140
"55",-4.84368154426149,-2.1279616075035,190
"56",12.4778208538669,-2.14887589279669,530
"57",5.27273655629541,4.15205401137224,700
"58",-9.34631289965306,-0.746320427872876,180
"59",-4.39563116539304,-1.43423140873762,900
"60",-11.860477534224,-1.70417710386868,130
"61",15.4790297921067,-4.60732996941682,450
"62",20.5789509034124,-2.79510107370094,650
"63",21.1189674036458,-1.4709411912552,700
"64",-8.93078134422965,-1.03694044711307,80
"65",-3.8872705444116,-3.85203392813352,180
"66",2.3159857288327,3.63381006728403,330
"67",2.67326876295917,3.72459016043097,290
"68",4.74340785499085,4.24146721462657,400
"69",-10.1436420940756,-0.741331324299988,90
"70",-10.4578235887359,-0.354228999985763,90
"71",-8.80768601636461,-0.537389020520905,110
"72",0.28138390896416,3.54578688102291,290
"73",-9.2337922819762,-1.039918719824,100
"74",0.0773996701902146,3.29167201590007,340
"75",-6.42974374633147,0.704576284911947,140
"76",-12.0872911137007,-0.428640187101755,70
"77",2.36267298746483,3.60958860755867,300
"78",8.31523718581413,2.15240924706654,410
"79",2.73442866768937,3.72295381490451,340
"80",1.53420482636747,3.5263960250253,260
"81",8.36716034010056,2.16369096552886,430
"82",3.91740595969056,4.19927147376324,370
"83",-6.17796175513791,0.0170416743231307,150
"84",-3.45430243712971,-4.13855188451749,140
"85",-8.83434163372691,-0.645578372964701,80
"86",14.1080576254948,-3.41680846793439,510
"87",20.4057150889545,-2.79785830202848,650
"88",-4.82055930297163,-2.02964260928848,320
"89",-7.89522106830122,1.58825217944252,250
"90",1.50414553324443,3.54615599342182,330
"91",5.69005022459985,3.29687964992232,450
"92",-4.86548556878745,-2.14109955289735,200
"93",-3.5117178296184,-4.11922682096021,200
"94",13.9038348772908,-3.41136348815546,370
"95",18.9766332633762,-3.91333042900216,400
"96",10.6005096916401,-1.13930819095714,390
"97",8.04764780112958,1.9226760623023,370
"98",21.5706500921252,0.681417558885178,390
"99",-8.82074759658071,-0.0340123405196968,130
"100",9.12229814087898,0.391820572181271,440
"101",0.156174368140282,3.46230609547433,350
"102",-4.90495252835602,-2.20975687878052,120
"103",-9.38660936662607,-0.924284580655403,120
"104",-8.83251815447254,-0.0594064250832706,120
"105",-4.7072211166618,-2.9727012809672,170
"106",-6.26456758759156,-0.0825010961479081,110
"107",-0.0363174769250264,3.18698760567277,220
"108",4.49040994629717,3.96667515123653,430
"109",-4.29008984425338,-3.7136491768944,130
"110",-12.2156020069504,-2.47844581734412,60
"111",-11.4713117718114,0.206157921604176,30
"112",-4.31187863151906,-3.77145654349883,150
"113",-8.69353241538762,-0.404584456882602,110
"114",-1.06122833584421,-0.494296052685871,240
"115",-12.2920201801596,-2.64228715026163,30
"116",2.29430377600138,3.61622290619738,440
"117",-5.83302129217765,-0.641366815784666,110
"118",-1.03254842425808,-0.452195567441748,310
"119",-5.42909737389537,-1.11469616637591,140
"120",-1.03926352149679,-0.479105759614748,240
"121",-8.85057698077742,-0.607739829215879,90
"122",-11.4876962136444,0.193086055569796,70
"123",-8.6626219429788,0.437523935548439,90
"124",10.6724510388741,-1.02573442558984,450
"125",-5.34424898359301,-0.944860826182068,130
"126",4.99852417138483,3.72497547961918,430
"127",-3.19542880777267,-3.99494264619651,160
"128",-8.96947821076467,-1.09746285299495,100
"129",6.81392913471563,2.67936559676993,420
"130",0.0442549370027222,3.27447253683668,320
"131",-3.20401630074756,-4.03040474244666,140
"132",4.59015631207987,4.10246638623745,420
"133",9.10052130832323,0.307623385665468,470
"134",-8.49448554767943,1.21002617556779,120
"135",-7.03379775705691,1.20497621741247,110
"136",-10.6955168042349,-0.0911464321313558,90
"137",-10.6862434133997,-0.0844002717009565,60
"138",5.73410462613873,3.39343336272226,420
"139",0.014861237392902,3.29103409652313,400
"140",-3.15558598484678,-4.00409005139264,200
"141",-4.86519851154908,-2.15361025039811,180
"142",-10.6598473564812,-0.0697951957728113,70
"143",-8.8026209724669,-0.0644584507719643,110
"144",-11.9288578527764,-1.91912249696747,140
"145",3.23959660749486,3.90822539869166,300
"146",8.22150137694413,1.98006455425158,430
"147",14.2130934152328,-3.34725893188442,460
"148",-6.45881831630178,0.628022758866891,100
"149",-9.34023134591589,-0.842700499876489,110
"150",-4.23913301068201,-3.72866113771417,180
"151",1.57333031736342,3.53961884616902,300
"152",-1.01222384916147,-0.433222983176458,220
"153",10.7499513187877,-1.03193869327755,410
"154",-6.26554041022074,-0.108131703960327,130
"155",-3.16497468022681,-4.00658679166326,190
"156",10.7200221949021,-1.08008910947441,390
"157",-3.51245338072289,-4.14619558335137,110
"158",18.9458943039717,-3.96375982326165,420
"159",-10.1363590885828,-0.693113871838106,100
"160",0.850085321565379,3.4478918445373,300
"161",3.78743879206476,4.04903995254078,440
"162",-1.18239951243892,-2.1035067325386,250
"163",-9.67329691325408,-0.578205837841971,90
"164",-10.4899726528213,-0.401700808942352,60
"165",10.5905157239348,-1.1095497995688,400
"166",-10.1320815799803,-0.705462553528246,90
"167",-7.94401758499225,1.46396264041515,120
"168",0.157388277904856,3.50597401445804,300
"169",-7.92246148932624,1.49057140658992,100
"170",-8.04371926953522,1.48262700935586,110
"171",-3.50703284803322,-4.11164071115906,200
"172",-3.93867169682398,-3.87062822938205,140
"173",-1.07637303656582,-0.484786647172053,250
"174",5.63108722857563,3.20303233751427,360
"175",-11.8787130338013,0.00390135407050056,50
"176",-3.91427446582845,-3.81568146843507,180
"177",-10.0969404319502,-0.620936213930847,100
"178",-7.92194644907081,1.5204103031836,90
"179",4.44660659381306,3.96518906034948,350
"180",-0.00357735943380437,3.25161752394089,250
"181",-8.6932858474434,-0.403454386731431,100
"182",-1.23814788525972,-2.18745872041889,150
"183",-0.848836207414621,1.2105308676547,210
"184",-9.37619954484347,-0.92263424291966,90
"185",-6.28771933971597,-0.148206038832574,110
"186",5.57623398307713,3.12816895200856,390
"187",9.11326967613116,0.303925201225758,470
"188",-4.74779948548216,-3.05357006995941,140
"189",-1.24366234401129,-2.23351656598148,170
"190",-3.2114448953716,-4.06697526637352,160
"191",-0.525421566523537,2.66195573337342,300
"192",4.44441168699099,3.89181511936075,350
"193",-12.1439650208453,-1.55048739164009,50
"194",3.79551451550949,4.03984109162399,400
"195",2.28366191387601,3.54713456204929,360
"196",-11.8821227378913,-0.00632738414951025,70
"197",-4.87869163885918,-2.14804872468696,140
"198",0.823778831619257,3.35833523318041,240
"199",-7.9288427667739,1.46367216005771,100
"200",-4.32042712920106,-3.76423744319902,140
"201",8.04681414884883,1.8701054784324,420
"202",2.50753282023595,3.58232112432594,260
"203",-4.7553180644578,-3.01446245077676,170
"204",-2.58086615752395,-3.76473711528956,180
"205",3.6260298687294,3.92789001478656,210
"206",2.47683755931279,3.5341093951631,260
"207",-0.905208585877866,1.19199609753959,210
"208",-1.14903203479315,-0.569535252237552,170
"209",-12.0996495247002,-1.47250966938575,90
"210",-11.8403894680959,0.287570791158751,50
"211",2.16701343069307,3.47900686065862,220
"212",-0.0831470172553913,3.13713456244117,210
"213",-11.1396226877748,0.194403128259184,60
"214",-3.20687785776271,-4.03339407200482,110
"215",-5.8294643522369,-0.664668778834463,100
"216",-8.96780468133892,-1.11869240416691,80
"217",9.05162701024385,0.310778264220952,410
"218",-5.89400346736602,-0.737952531993428,80
"219",-3.24929094580408,-4.10857400146688,120
"220",-1.12832927260269,-0.569150813177749,160
"221",-0.045545882887489,3.18348160133515,230
"222",-0.0663229769766686,3.13725385877591,200
"223",-3.94149105922727,-3.8567730390443,140
"224",-12.1264656430764,-1.54888140465045,30
"225",-3.23219694331074,-4.02600860400381,140
"226",4.81143602653281,3.54058849510064,330
"227",-6.27836888602054,-0.0845141114154064,110
"228",13.9931913867825,-3.50022394746802,500
"229",-7.96835203488509,1.41672356961365,70
"230",-9.77171454805639,-0.78492404389332,70
"231",-9.7504521348944,-0.728739809902825,60
"232",-6.49852900972802,0.606966127284806,70
"233",-12.1123860485038,-1.10764369692622,30
"234",0.0698638368197161,3.39511479331545,190
"235",0.797093373962875,3.3415949559804,220
"236",-10.4702891594136,-0.36773141360581,80
"237",-8.69816752376861,-0.420938042916636,80
"238",1.43513986972519,3.44171427948137,210
"239",4.38387541761403,3.89268071832934,310
